,URI,birthDate,birthPlace_label,birthPlace,office,mayorCity,termStart,termEnd,name,birthPlaceLat,birthPlaceLon,cityLat,cityLon,gender,distance,startAge,endAge,termLength
0,http://dbpedia.org/resource/Robert_A._Dressler,1945-08-26,{Fort Lauderdale Florida|Florida},"{http://dbpedia.org/resource/Fort_Lauderdale,_Florida|http://dbpedia.org/resource/Florida}",Mayor ofFort Lauderdale Florida,Fort Lauderdale Florida,1982.0,1986.0,Robert A. Dressler,26.133333,-80.150002,,,male,,37.0,41.0,4.0
1,http://dbpedia.org/resource/Robert_A._Hefner,1874-02-07,Hunt County Texas,"http://dbpedia.org/resource/Hunt_County,_Texas",Mayor of Oklahoma City,Oklahoma City,,,Robert A. Hefner,,,35.482224,-97.535004,male,,,,
2,http://dbpedia.org/resource/Robert_Anderson_Van_Wyck,1849-07-20,New York City,http://dbpedia.org/resource/New_York_City,Mayor of New York City,New York City,,,Robert Anderson Van Wyck,40.7127,-74.005898,40.7127,-74.005898,male,0.0,,,
3,http://dbpedia.org/resource/Robert_Cauchon,1900-09-10,La Malbaie,http://dbpedia.org/resource/La_Malbaie,Mayor ofValleyfieldQuebec,ValleyfieldQuebec,1944.0,1947.0,Robert Cauchon,47.650002,-70.150002,,,male,,44.0,47.0,3.0
4,http://dbpedia.org/resource/Robert_Hood_Saunders,1903-05-30,{Toronto|Ontario},{http://dbpedia.org/resource/Toronto|http://dbpedia.org/resource/Ontario},Mayor of Toronto,Toronto,1945.0,1948.0,Robert Hood Saunders,43.700001,-79.400002,43.700001,-79.400002,male,0.0,42.0,45.0,3.0
5,http://dbpedia.org/resource/Robert_John_Fleming_(Canadian_politician),1854-11-23,{Toronto|Ontario},{http://dbpedia.org/resource/Toronto|http://dbpedia.org/resource/Ontario},Mayor of Toronto,Toronto,1892.0,1893.0,Robert John Fleming (Politiker),43.700001,-79.400002,43.700001,-79.400002,male,0.0,38.0,39.0,1.0
6,http://dbpedia.org/resource/Robert_King_High,1924-04-09,Bedford County Tennessee,"http://dbpedia.org/resource/Bedford_County,_Tennessee",Mayor of Miami,Miami,,,Robert King High,,,25.775278,-80.208885,male,,,,
7,http://dbpedia.org/resource/Robert_Kozaren,1934-06-05,{Detroit|United States},{http://dbpedia.org/resource/Detroit|http://dbpedia.org/resource/United_States},Mayor of Hamtramck Michigan,Hamtramck Michigan,1980.0,1997.0,Robert Kozaren,42.33139,-83.04583000000001,,,male,,46.0,63.0,17.0
8,http://dbpedia.org/resource/Robert_Macfarlane_(New_Zealand_politician),1900-05-17,Christchurch,http://dbpedia.org/resource/Christchurch,Mayor of Christchurch,Christchurch,1938.0,1941.0,Robert Macfarlane (New Zealand politician),-43.529999,172.620285,-43.529999,172.620285,male,0.0,38.0,41.0,3.0
9,http://dbpedia.org/resource/Robert_McLaughlin_(industrialist),1836-11-16,{Upper Canada|Cavan Monaghan},{http://dbpedia.org/resource/Upper_Canada|http://dbpedia.org/resource/Cavan_Monaghan},Mayor of Oshawa Ontario,Oshawa Ontario,1899.0,1899.0,Robert McLaughlin (industrialist),,,,,male,,63.0,63.0,0.0
10,http://dbpedia.org/resource/Robert_W._Speer,1855-12-01,Mount Union Pennsylvania,"http://dbpedia.org/resource/Mount_Union,_Pennsylvania",Mayor of Denver,Denver,1904.0,1912.0,Robert W. Speer,40.384724,-77.88333100000001,39.761848,-104.88110400000001,male,2287.869485062688,49.0,57.0,8.0
11,"http://dbpedia.org/resource/Roberto_Salcedo,_Sr.",1953-04-18,{Distrito Nacional|Villa Juana},{http://dbpedia.org/resource/Distrito_Nacional|http://dbpedia.org/resource/Villa_Juana},Mayor of the National District (Santo Domingo),the National District (Santo Domingo),,,Roberto Salcedo,,,,,male,,,,
12,http://dbpedia.org/resource/Robertson_Gladstone,1805-11-15,{Liverpool|Lancashire},{http://dbpedia.org/resource/Liverpool|http://dbpedia.org/resource/Lancashire},Mayor of Liverpool,Liverpool,1842.0,1843.0,Robertson Gladstone,53.400002,-2.983333,53.400002,-2.983333,male,0.0,37.0,38.0,1.0
13,http://dbpedia.org/resource/Robin_Wales,1955-01-18,{Kilmarnock|Scotland},{http://dbpedia.org/resource/Kilmarnock|http://dbpedia.org/resource/Scotland},Mayor of Newham,Newham,,,Robin Wales,,,,,male,,,,
14,http://dbpedia.org/resource/Rocky_Anderson,1951-09-09,Logan Utah,"http://dbpedia.org/resource/Logan,_Utah",Mayor of Salt Lake City,Salt Lake City,,,Rocky Anderson,,,40.75,-111.88333100000001,male,,,,
15,http://dbpedia.org/resource/Rodolph_Crandall,1832-02-19,Watson New York,"http://dbpedia.org/resource/Watson,_New_York",Mayor of Hillsboro Oregon,Hillsboro Oregon,,,Rodolph Crandall,43.775833,-75.436111,45.516666,-122.98333000000001,male,3708.6845569583884,,,
16,http://dbpedia.org/resource/Romaine_Quinn,1990-07-30,Rice Lake Wisconsin,"http://dbpedia.org/resource/Rice_Lake,_Wisconsin",Mayor of Rice Lake,Rice Lake,2010.0,2012.0,Romaine Quinn,45.498333,-91.738892,,,male,,20.0,22.0,2.0
17,http://dbpedia.org/resource/Ron_Guthrey,1916-01-15,Rawene,http://dbpedia.org/resource/Rawene,Mayor of Christchurch,Christchurch,1968.0,1971.0,Ron Guthrey,,,-43.529999,172.620285,male,,52.0,55.0,3.0
18,http://dbpedia.org/resource/Ron_Lurie,1941-01-23,{California|Los Angeles|United States},{http://dbpedia.org/resource/California|http://dbpedia.org/resource/Los_Angeles|http://dbpedia.org/resource/United_States},Mayor of Las Vegas,Las Vegas,1987.0,1991.0,Ron Lurie,,,36.174999,-115.13639099999999,male,,46.0,50.0,4.0
19,http://dbpedia.org/resource/Ron_Mark,1954-01-29,Carterton New Zealand,"http://dbpedia.org/resource/Carterton,_New_Zealand",Mayor ofCarterton District,Carterton District,1996.0,2008.0,Ron Mark,-41.033333,175.53333999999998,-41.033333,175.53333999999998,male,0.0,42.0,54.0,12.0
20,http://dbpedia.org/resource/Rousseau_Owen_Crump,1843-05-20,Pittsfield New York,"http://dbpedia.org/resource/Pittsfield,_New_York",Mayor ofWest Bay City,West Bay City,1892.0,1895.0,Rousseau Owen Crump,42.633334999999995,-75.26666999999999,,,male,,49.0,52.0,3.0
21,http://dbpedia.org/resource/Roy_C._Afflerbach,1945-02-06,Allentown Pennsylvania,"http://dbpedia.org/resource/Allentown,_Pennsylvania",Mayor of Allentown Pennsylvania,Allentown Pennsylvania,,,Roy C. Afflerbach,40.601665000000004,-75.47721899999999,,,male,,,,
22,http://dbpedia.org/resource/Gary_Miller,1948-10-16,{Huntsville Arkansas|United States},"{http://dbpedia.org/resource/Huntsville,_Arkansas|http://dbpedia.org/resource/United_States}",Mayor ofDiamond Bar,Diamond Bar,1995.0,1998.0,جاري ميلر,36.089721999999995,-93.735001,34.001667,-117.82083100000001,male,2197.869809512994,47.0,50.0,3.0
23,http://dbpedia.org/resource/Gaston_Defferre,1910-09-14,{France|Marsillargues},{http://dbpedia.org/resource/France|http://dbpedia.org/resource/Marsillargues},Mayor of Marseille,Marseille,1953.0,1986.0,Gaston Defferre,,,,,male,,43.0,76.0,33.0
24,http://dbpedia.org/resource/Georg_August_Rudolph,1816-09-25,{Kassel|Electorate of Hesse},{http://dbpedia.org/resource/Kassel|http://dbpedia.org/resource/Electorate_of_Hesse},Mayor of Marburg,Marburg,,,Georg August Rudolph,,,,,male,,,,
25,http://dbpedia.org/resource/Georg_Gaßmann,1910-05-28,{Germany|Marburg},{http://dbpedia.org/resource/Germany|http://dbpedia.org/resource/Marburg},Mayor of Marburg,Marburg,,,Georg Gaßmann,,,,,male,,,,
26,http://dbpedia.org/resource/George_Ainslie_(Virginia_politician),1868-10-10,{Virginia|Richmond Virginia|United States},"{http://dbpedia.org/resource/Virginia|http://dbpedia.org/resource/Richmond,_Virginia|http://dbpedia.org/resource/United_States}",Mayor of Richmond Virginia,Richmond Virginia,,1924.0,George Ainslie (Virginia politician),,,37.533333,-77.466667,male,,,56.0,
27,http://dbpedia.org/resource/George_Alexander_(American_politician),1839-09-21,Glasgow,http://dbpedia.org/resource/Glasgow,Mayor of Los Angeles,Los Angeles,,,George Alexander (American politician),,,34.049999,-118.25,male,,,,
28,http://dbpedia.org/resource/George_Chahoon,1840-02-02,Sherburne New York,"http://dbpedia.org/resource/Sherburne,_New_York",Mayor of Richmond Virginia,Richmond Virginia,,,George Chahoon,42.678055,-75.498886,37.533333,-77.466667,male,595.6197222628429,,,
29,http://dbpedia.org/resource/George_Christopher,1907-12-08,Arcadia,http://dbpedia.org/resource/Arcadia,Mayor of San Francisco,San Francisco,,,George Christopher,37.583332,22.25,37.783333,-122.41666399999998,male,10878.002436285693,,,
30,http://dbpedia.org/resource/George_Cox_(Ottawa_politician),1834-11-17,Montreal,http://dbpedia.org/resource/Montreal,Mayor of Ottawa,Ottawa,1894.0,1894.0,George Cox (Ottawa politician),45.5,-73.566666,45.416668,-75.683334,male,165.2411666168604,60.0,60.0,0.0
31,http://dbpedia.org/resource/George_F._Wright,1881-04-23,Honolulu,http://dbpedia.org/resource/Honolulu,Mayor of Honolulu,Honolulu,1931.0,1938.0,George F. Wright,21.299999,-157.816666,21.299999,-157.816666,male,0.0,50.0,57.0,7.0
32,http://dbpedia.org/resource/George_Gair,1926-10-13,Dunedin,http://dbpedia.org/resource/Dunedin,Mayor of North Shore,North Shore,1966.0,1990.0,George Gair,-45.866665000000005,170.5,,,male,,40.0,64.0,24.0
33,http://dbpedia.org/resource/George_H._Durand,1838-02-21,Cobleskill (town) New York,"http://dbpedia.org/resource/Cobleskill_(town),_New_York",Mayor of the City of Flint Michigan,the City of Flint Michigan,1873.0,1875.0,George H. Durand,42.680279,-74.417503,,,male,,35.0,37.0,2.0
34,http://dbpedia.org/resource/George_H._Shirk,1913-05-01,{Oklahoma|Oklahoma City},{http://dbpedia.org/resource/Oklahoma|http://dbpedia.org/resource/Oklahoma_City},Mayor of Oklahoma City,Oklahoma City,,,George H. Shirk,,,35.482224,-97.535004,male,,,,
35,http://dbpedia.org/resource/George_Henry_Calvert,1803-01-02,Baltimore,http://dbpedia.org/resource/Baltimore,Mayor of Newport Rhode Island,Newport Rhode Island,,,George Henry Calvert,39.283333,-76.61666899999999,,,male,,,,
